index,tDept,tFname,tMiddlename,tLname,tid,tNumRatings,rating_class,overall_rating
1052,Astronomy,Jessica,,Evans,2212538,9,good,4.0
1053,Political Science,Jillian,,Evans,2407686,2,good,5.0
1054,Computer Science,Graham,Carl,Evans,2254924,21,average,2.7
1055,Astronomy,Jordan,,Evans-Kaplan,2519708,1,good,5.0
1056,Mechanical Engineering,Randy,,Ewoldt,1706041,20,good,4.3
1057,Psychology,Monica,,Fabiani,2483135,0,zero,N/A
1058,Philosophy,Tyler,,Fagan,1371206,4,good,4.4
1059,Computer Science,Wade,,Fagen,1815742,31,good,4.5
1060,French,Zsuzsanna,,Fagyal,1658784,2,poor,2.3
1061,Civil Engineering,Larry,A,Fahnestock,1782008,3,good,5.0
1062,Psychology,Catherine ,,Fairbairn,2045313,0,zero,N/A
1063,Architecture,Dede,,Fairchild-Ruggles,1246164,8,good,4.5
1064,Economics,Xiaochen,,Fan,1640367,7,good,3.6
1065,Engineering,Nick,,Fang,599657,8,poor,2.3
1066,Business,Eric,,Fang,1841474,1,good,5.0
1067,Electrical & Computer Engineering,Kejie,,Fang,2343378,0,zero,N/A
1068,Accounting,Kirsten,,Fanning,1739500,3,average,3.0
1069,Kinesiology,Jason,,Fanning,2070236,0,zero,N/A
1070,English,Chelsea  ,E.,Farmer,2038608,2,good,5.0
1071,Anthropology,Brenda,,Farnell,554972,16,good,4.1
1072,Health Science,Susan,,Farner,641969,31,good,4.7
1073,"Recreation, Parks, & Tourism",Jeffery,,Farr,2580702,9,good,4.1
1074,Biology,Stephen,,Farrand,787007,32,good,3.7
1075,Accounting,Anne,,Farrell,487362,12,good,4.5
1076,Labor  Employment Relations,Clare,,Fauke,2012485,2,poor,2.0
1077,Physics,Thomas,,Faulkner,2113235,4,poor,1.9
1078,Music,Tom,,Faux,952162,6,average,3.2
1079,Psychology,Kara,,Federmeier,636861,36,good,3.8
1080,Linguistics,Azam,,Feiz,2028747,3,good,5.0
1081,Statistics,Georgios,,Fellouris,2464210,4,poor,1.8
1082,Engineering,Milton,,Feng,1477320,3,poor,1.5
1083,Mathematics,Runhuan,,Feng,1817245,9,average,2.9
1084,Anthropology,Christopher,,Fennell,1276849,4,good,3.6
1085,Sociology,Kelsey,,Fenske,2306871,0,zero,N/A
1086,Speech  Hearing Sciences,Martine,,Fenstermacher,1991440,0,zero,N/A
1087,Psychology,Kara,D,Ferdermeier,2218183,1,good,4.0
1088,Education,Joe,,Feria-Galicia,1441395,9,good,5.0
1089,Mathematics,Rui,Loja,Fernandes,2336889,2,good,5.0
1090,Spanish,Fabiola,,Fernandez-Doig,2486796,1,poor,1.0
1091,Engineering,Placid,,Ferreira,850929,4,average,3.3
1092,Business,Kevin,,Fertig,941649,11,good,4.1
1093,Chemistry,Kamalani,,Fielder,2647863,1,good,5.0
1094,Astronomy,Brian,,Fields,877704,15,good,4.9
1095,Communication,Mary,Kathleen,Fijalkovich,2323197,4,good,4.0
1096,Civil Engineering,Evgueni,T,Filipov,1839014,3,poor,2.5
1097,Physics,Jeff,,Filippini,2118297,1,good,5.0
1098,Accounting,Mitch,,Finch,2451115,1,average,3.0
1099,Statistics,Kelly,,Findley,2540458,12,good,4.8
1100,Art History,Jonathon,,Fineberg,710419,9,average,2.8
1101,Literature,Michael,,Finke,963324,8,average,3.0
1102,Chemistry,Aaron,,Finke,1288835,0,zero,N/A
1103,Communication,Kala,,Finley,1664316,4,average,3.4
1104,Accounting,Tom,,Finnegan,161131,68,average,2.9
1105,Finance,Joseph,,Finnerty,780905,18,average,3.1
1106,Mathematics,Ellen,,Fireman,94792,169,good,4.7
1107,Community Health Sciences,Carol,,Firkins,989523,3,good,3.8
1108,Law,Karla,,Fischer,966256,0,zero,N/A
1109,Computer Engineering,Paul,,Fischer,2101226,5,poor,1.4
1110,Animal Science,Amy,,Fischer,1263334,15,average,3.5
1111,Psychology,Cynthia,,Fisher,203314,11,poor,2.3
1112,Accounting,Mitchell,,Fisher,2393313,23,good,3.9
1113,Philosophy,Jesse,,Fitts,2663544,0,zero,N/A
1114,International Studies,Margaret,,Fitzpatrick,1877184,3,good,4.0
1115,Mechanical Engineering,Bruce,,Flachsbart,1259730,18,average,3.3
1116,Italian,Corey,,Flack,1927010,0,zero,N/A
1117,Engineering,David,,Flaherty,1815004,6,good,3.9
1118,Speech & Hearing Sciences,Mary,,Flaherty,2469134,1,good,5.0
1119,Statistics,Karle,A,Flanagan,1876600,145,good,5.0
1120,Computer Science,Margaret,,Fleck,1169737,43,good,4.0
1121,Criminal Justice,Mark,,Fleisher,1818534,0,zero,N/A
1122,Chemistry,Ian,,Fleming,2341757,0,zero,N/A
1123,Chemistry,Charity,,Flener,798610,2,average,2.8
1124,Electrical  Comp. Engineering,Arne,,Fliflet,2084675,4,poor,1.1
1125,Geography,Colin,,Flint,1066360,14,good,4.4
1126,Natural Resources,Courtney,,Flint,1682676,4,good,3.6
1127,Education,Jill,,Flodstrom,1127938,1,poor,1.0
1128,Business,Ricardo,,Flores,859371,2,good,5.0
1129,English,Katherine,,Flowers,1726025,2,good,3.8
1130,Not Specified,Karen,,Flynn,975115,17,average,3.2
1131,Physics,Pete,,Flynn,1568546,1,poor,1.5
1132,Political Science,Charles,,Fogelman,2299626,11,good,5.0
1133,Speech amp Hearing Sciences,Dan,,Fogerty,2657600,1,poor,2.0
1134,Astronomy,ryan,JOSEPH,foley,2052917,0,zero,N/A
1135,Journalism,Jennifer,,Follis,1006217,44,good,3.9
1136,Mathematics,Lena,C,Folwaczny,1907208,85,poor,2.4
1137,English,Stephanie,,Foote,524868,26,good,4.7
1138,Spanish,Rebecca,,Foote,827943,5,good,4.9
1139,Computer Science,Michael,,Forbes,2600365,0,zero,N/A
1140,Information Science,Barbara,,Ford,1861175,0,zero,N/A
1141,Mathematics,Kevin,,Ford,616744,25,good,3.8
1142,Computer Science,David,,Forsyth,1178741,9,good,4.6
1143,Finance,Vyacheslav,,Fos,1728018,2,average,2.5
1144,Spanish,Emily,,Foss,1793297,2,good,4.8
1145,Community Health Sciences,Markisha,,Foster,1409049,2,poor,1.8
1146,History,Rayvon,,Fouche,985551,15,good,3.8
1147,Science,Bruce,,Fouke,93642,10,good,4.6
1148,Geography,Brian,,Fouke,720529,3,good,4.0
1149,Physics,Eduardo,,Fradkin,1213348,3,average,3.0
1150,Psychology,R.C.,,Fraley,849543,3,good,4.0
1151,Psychology,Robert,,Fraley,1068685,3,average,2.8
1152,Earth Science,Jeffrey,,Frame,1559748,57,good,4.3
1153,Finance,V,,France,466701,6,average,2.9
1154,Mathematics,Philippe,Di,Francesco,2049373,3,good,4.8
1155,Mathematics,George,,Francis,137091,19,average,2.6
1156,Biology,Bettina,,Francis,377410,21,average,3.0
1157,Architecture,Rhonda,,Frank,1317989,0,zero,N/A
1158,Philosophy,Devin,,Frank,2414192,3,average,2.7
1159,Engineering,Patricia,,Franke,478577,15,poor,1.7
1160,Anthropology,Susan,,Frankenberg,1745444,8,good,3.8
1161,Mathematics,Martin,,Frankland,1598047,8,good,4.9
1162,Linguistics,Suzanne,,Franks,2593344,0,zero,N/A
1163,Classics,John,,Fraser,956544,0,zero,N/A
1164,Natural Resources,Jennifer,,Fraterrigo,1776911,4,good,4.5
1165,Biology,Rudy,,Fratti,2537219,6,poor,1.0
1166,Psychology,Scott,,Fraundorf,1267242,4,good,4.9
1167,English,John,,Frayne,551112,5,good,4.5
1168,Mathematics,Greg,,Frazier,1046348,0,zero,N/A
1169,Biology,Tom,,Frazzetta,1072089,4,good,4.9
1170,English,Christopher,,Freeburg,983361,30,average,3.0
1171,Biology,Kevin,,Freeney,1756510,1,good,5.0
1172,Languages,Karen,,Fresco,681606,9,average,3.1
1173,Engineering,Jonathan,,Freund,990682,8,average,2.9
1174,Pathology,Gregory,G,Freund,1803715,3,good,4.8
1175,Business,Michael,,Fricke,2063127,11,good,4.0
1176,History,Peter,,Fritzsche,1357501,29,poor,2.4
1177,Engineering,Leon,,Frizzell,853493,13,poor,2.5
1178,Classics,Stephen,,Froedge,1921433,7,good,5.0
1179,Physical Ed,Mike,,Frogley,504685,0,zero,N/A
1180,Political Science,Samantha,,Frost,1018794,14,good,3.8
1181,Linguistics,Jenna,,Frydman,1675748,0,zero,N/A
1182,History,Poshek,,Fu,263113,23,average,3.5
1183,Computer Science,Wai-Tat,,Fu,1093190,10,average,3.3
1184,Mathematics,Elena,,Fuchs,1969572,1,good,5.0
1185,Spanish,Teresa,,Fuentes,1380193,9,average,2.9
1186,Animal Biology,Rebecca,,Fuller,994477,8,good,4.2
1187,Finance,Don,,Fullerton,2070061,1,poor,1.0
1188,English,Yevgeniya,,Funk,1756086,3,good,4.7
1189,Mathematics,Zoltan,,Furedi,1218105,3,poor,1.3
1190,Writing,Cecily,,Gaber,1210142,2,average,3.0
1191,Mathematics,Vaibhav,,Gadre,1247028,0,zero,N/A
1192,Physics,Bryce,,Gadway,2222709,5,good,4.2
1193,English,Andrew,,Gaedtke,2605252,1,good,5.0
1194,English,Katherine,Katrina,Gaffney,2252926,2,good,3.5
1195,Economics,Firouz,,Gahvari,1535893,2,poor,1.0
1196,Communication,Benjamin,,Gailey,2299025,3,good,5.0
1197,Political Science,Brian,,Gaines,90909,14,average,3.0
1198,Business,Ravi,,Gajendran,1798734,2,good,5.0
1199,English,John,R,Gallagher,2476393,1,good,4.0
1200,Communication,Laura,E,Gallant,1811247,12,average,3.0
1201,Psychology,Roberto,,Galvez,1820707,8,good,4.7
1202,Computer Science,Thomas,,Gambill,122806,130,good,3.5
1203,Physics,Charles,,Gammie,1207489,22,poor,2.3
1204,Statistics,LU,,Gan,1545340,4,poor,2.0
1205,History,Rajmohan,,Gandhi,1647650,4,good,4.0
1206,Information Science,Jon,,Gant,1861094,1,poor,1.0
1207,Engineering,Grace,Xingxin,Gao,1868253,2,good,4.2
1208,Anthropology,Paul,,Garber,476574,14,average,3.1
1209,English,Cecily,,Garber,1426766,2,good,4.0
1210,Theater,Regina,,Garcia,1697551,1,poor,1.0
1211,English,Frank,,Garcia,2210124,6,good,4.7
1212,Spanish,Keren,,Garcia,2371463,0,zero,N/A
1213,Art & Design,Juan,Salamanca,Garcia,2577492,0,zero,N/A
1214,Philosophy,Iker,,Garcia,1557004,6,good,4.8
1215,Civil Engineering,Paolo,,Gardoni,1781132,8,good,4.5
1216,Engineering,Jugal,,Garg,2266447,2,good,4.0
1217,Civil Engineering,Nishant,,Garg,2488824,1,good,4.0
1218,Spanish,Megan,E,Garguilo,2141651,9,poor,2.0
1219,Business,Aravinda,,Garimella,2402799,6,good,4.8
1220,Communication,Porshe,R,Garner,1967863,0,zero,N/A
1221,English,Peter,,Garret,1399534,1,poor,1.0
1222,English,Peter K,,Garrett,701945,8,average,3.2
1223,French,Meryl,,Garrison,1708282,2,average,3.0
1224,Agriculture,Linda,,Garrow,185328,18,average,2.9
1225,Social Work,Rachel,,Garthe,2644580,1,good,5.0
1226,English,Kyle,R,Garton-Gundling,2116729,3,average,3.0
1227,Accounting,Brent,,Garza,2065387,2,good,5.0
1228,Computer Science,Maria,,Garzaran,1349302,10,poor,2.1
1229,Animal Science,Rex,,Gaskins,2519780,3,poor,1.7
1230,Information Science,Les,,Gasser,1813191,6,average,2.8
1231,English,Esteban,,Gast,2003828,2,good,5.0
1232,Communication,Esteban,,Gaste,2003477,0,zero,N/A
1233,Comparative Literature,George,,Gasyna,1577971,4,good,4.9
1234,Agriculture,Richard,,Gates,1541117,4,poor,2.0
1235,Mechanical Engineering,Mattia,,Gazzola,2251010,5,good,4.8
1236,Music,Erin,,Gee,1814757,3,poor,1.0
1237,English,Sara,,Gelston,1381497,7,good,4.8
1238,Sociology,Serife,,Genis,1405331,9,poor,2.1
1239,Bioengineering,Kenneth,,Gentry,1280766,7,average,2.7
1240,Biology,Julia,,George,461278,4,good,3.9
1241,Mechanical Engineering,John,,Georgiadis,1653067,10,average,2.7
1242,Biology,John,,Gerlt,937772,15,good,3.5
1243,Chemistry,Andrew,,Gerwith,2656176,0,zero,N/A
1244,Engineering,Philippe,,Geubelle,2669931,0,zero,N/A
1245,Chemistry,Andrew,,Gewirth,2656451,0,zero,N/A
1246,History,Behrooz,,Ghamari-Tabrizi,735567,43,good,3.5
1247,Engineering,Arash,,Ghayoori,2208317,2,poor,2.0
1248,Computer Science,Swapnil,,Ghike,1508920,0,zero,N/A
1249,Mechanical Engineering,Alexander,,Ghosh,2300135,1,good,5.0
1250,Information Systems,Abhijeet,,Ghoshal,2661083,1,poor,1.0
1251,Physics,Russell,W,Giannetta,2147307,2,good,4.8
1252,Foreign Languages,Leonardo,,Giannossa,1865356,1,poor,2.0
1253,Communication,Michael,,Giardina,1004826,7,good,4.5
1254,"Recreation, Parks, & Tourism",Daniel,,Gibble,1122997,4,average,3.2
1255,Economics,J. Fred,,Giertz,852250,11,average,3.0
1256,History,Matthew,,Gilbert,1165094,10,good,4.2
1257,Mathematics,Rebekah,A,Gilbert,1788870,28,average,3.4
1258,Electrical & Comp. Engineering,Matthew,,Gilbert,1884232,5,average,2.9
1259,Philosophy,David,,Gilbert,2141698,7,good,4.0
1260,Women's Studies,Pat,,Gill,259370,38,good,4.1
1261,Business,Shahbaz,Shabbir,Gill,2051728,17,average,2.8
1262,Sociology,Zsuzsa,,Gille,1753490,5,average,3.4
1263,Biology,Martha,,Gillette,2132188,2,poor,1.5
1264,Biology,Rhanor,,Gillette,2231883,0,zero,N/A
1265,English,Shawn,,Gilmore,860373,10,good,4.0
1266,Architecture,Rebecca,,Ginsburg,1034486,16,average,3.2
1267,Engineering,Gustavo,,Gioia,395646,23,good,4.0
1268,History,Janine,,Giordano,1450629,3,good,5.0
1269,Communication,Grace,,Giorgio,371885,19,good,4.5
1270,English,Melissa,,Girard,502216,7,good,4.4
1271,Computer Science,Rajiv,,Giri,1547303,0,zero,N/A
1272,Linguistics,Corina Roxana,,Girju,1305121,9,good,4.0
1273,Business,Tina,,Girndt-Clougherty,2194615,0,zero,N/A
1274,Physics,Gary,,Gladding,910648,13,average,3.3
1275,Speech Communication,Sarah,,Gleisner,571680,2,poor,1.8
1276,Communication,Ivy,,Glennon,714679,27,average,2.5
1277,Physics,Jacopo,,Gliozzi,2664289,0,zero,N/A
1278,Liberal Arts  Sciences,David,,Glisch-Sanchez,2076624,1,good,4.0
1279,History,Anca,,Glont,1449141,1,poor,1.5
1280,Statistics,Darren,,Glosemeyer,1774674,5,good,4.3
1281,Psychology,Sandy,,Gloss-Lucas,892993,3,good,4.7
1282,Engineering,Nick,,Glumac,616721,17,average,3.5
1283,Community Health Sciences,Robyn,,Gobin,2488179,0,zero,N/A
1284,Engineering,Lynford,,Goddard,1731310,3,good,4.7
1285,Computer Science,Philip Brighten,,Godfrey,1719710,7,good,4.9
1286,Accounting,David,,Godsell,2555657,1,good,4.0
1287,Spanish,Raquel ,,Goebel,2083829,4,good,5.0
1288,Media Arts,Koeli,,Goel,1613765,1,poor,2.0
1289,Languages,Karl,,Goetze,652440,5,good,4.4
1290,Social Work,Jacob,,Goffnett,2378886,1,good,5.0
1291,Physics,Ido,,Golding,1378595,1,average,2.5
1292,Communication,Wallace,,Golding,2450278,6,good,5.0
1293,Languages,Dara,,Goldman,602372,5,good,4.5
1294,Dance,Hope,,Goldman,1450873,0,zero,N/A
1295,Agriculture,Peter,,Goldsmith,2135572,1,average,3.0
1296,Systems Engineering,Molly,,Goldstein,2412305,7,good,3.5
1297,Bioengineering,Holly,McIlwee,Golecki,2654636,1,poor,2.0
1298,Physics,George,,Gollin,203028,52,good,3.5
1299,Art History,George,D,Gollin,2200981,0,zero,N/A
1300,Civil Engineering,Mani,,Golparvar-Fard,2176291,3,good,4.7
1301,Accounting,Jianxin,,Gong,767303,23,average,3.2
1302,Electrical & Computer Engineering,Songbin,,Gong,2449183,0,zero,N/A
1303,Agricultural Economics,Aolin,,Gong,2634746,2,poor,1.5
1304,Psychology,Brian,,Gonsalves,1124643,9,good,3.5
1305,Spanish,Cristina,,Gonzalez,2484307,1,good,5.0
1306,Education,Monica,,Gonzalez Ybarra,2579779,1,good,5.0
1307,Biology,Elizabeth,,Good,2241734,0,zero,N/A
1308,Finance,Jaimi,,Goodfriend,1260208,5,good,3.9
1309,English,Lauren,,Goodlad,558739,7,good,4.1
1310,Ethnic Studies,David G.,,Goodman,1212781,24,good,3.8
1311,Materials Engineering,Matthew,D,Goodman,2208076,12,average,3.3
1312,Philosophy,Ben,,Goodney,1435447,1,average,2.5
1313,Speech & Hearing Sciences,David,,Gooler,790291,34,good,3.7
1314,Music,Lillie,,Gordon,1841282,8,average,2.9
1315,Engineering,Emilio,Rey,Gordon,2232671,1,good,5.0
1316,Mathematics,Rick,,Gorvett,578021,22,good,4.4
1317,Anthropology,Alma,,Gottlieb,208506,19,good,3.5
1318,Anthropology,Radhika,,Govindrajan,1992322,0,zero,N/A
1319,"Recreation, Parks, & Tourism",Ryan,,Gower,456518,25,good,4.4
1320,Kinesiology,Kim,C.,Graber,1950927,3,good,5.0
1321,Biology,Gail,,Grabner,600466,19,good,3.7
1322,Writing,Philip,,Graham,209107,8,good,4.1
1323,Business,Jovan,,Grahovac,1619804,3,good,3.8
1324,Spanish,Maria,,Granados,2329513,2,good,4.5
1325,French,Jennifer,L,Grant,1900444,1,good,4.5
1326,Psychology,Gabriele ,,Gratton,1980998,1,poor,1.0
1327,English,Catharine,,Gray,1379117,7,good,4.4
1328,Political Science,Donald,,Greco,473152,6,poor,2.2
1329,Business,Geoffrey,,Green,399833,0,zero,N/A
1330,Bioengineering,Angela,,Green,1234674,4,average,2.8
1331,Linguistics,Jeffrey,,Green,2526461,3,good,4.3
1332,Bioengineering,Angela,,Green-Miller,2478204,1,poor,1.0
1333,Anthropology,Jessica,,Greenberg,1839801,12,poor,1.8
1334,Geography,Jonathan,,Greenberg,2083449,1,good,3.5
1335,Physics,Laura,,Greene,292360,23,average,3.2
1336,Education,Jennifer,,Greene,1367382,4,good,3.7
1337,Foreign Languages,Pamela,,Greene,2280287,0,zero,N/A
1338,Art History,Jennifer,,Greenhill,1090467,11,good,3.8
1339,Urban  Regional Planning,Andrew,J.,Greenlee,1955103,7,average,2.9
1340,Civil Engineering,Wilbur,,Greer,2243452,0,zero,N/A
1341,Biology,Aleel,,Grennan,2237791,1,poor,2.0
1342,Sociology,Rebecca,,Gresh,1836500,4,good,4.8
1343,Writing,Nolan,,Grieve,1879434,2,good,5.0
1344,Music,Pete,,Griffin,122991,28,good,4.9
1345,French,Jennifer,,Griffin,1363984,5,average,2.8
1346,Fine Arts,Ryan,,Griffis,2090994,0,zero,N/A
1347,Engineering,"Tony ""the Tiger""",,Grift,749695,9,average,2.7
1348,Economics,Aram,,Grigoryan,2264388,0,zero,N/A
1349,Community Health Sciences,Diana,,Grigsby-Toussaint,1555547,19,poor,2.4
1350,Communication,Lauren,,Grill,1379925,3,poor,2.0
1351,International Studies,Kate,,Grim-Feinberg,1854624,3,good,3.7
1352,Psychology,Christopher,,Grindrod,1292833,6,good,3.5
1353,Psychology,Sarah,,Grison,893684,23,good,4.8
1354,English,Jon,,Griswald,816550,2,good,5.0
1355,English,John,,Griswold,367686,22,good,4.2
1356,English,Joseph,,Grohens,1686253,8,good,3.6
1357,Psychology,Scott,,Gronlund,1836499,1,average,2.5
1358,Computer Science,William,,Gropp,1297594,4,average,3.1
1359,Biology,Claudio,,Grosman,904942,6,good,4.6
1360,Engineering,George,,Gross,850996,5,poor,1.9
1361,English,Hilary,J,Gross,2436714,3,good,4.7
1362,Cinema,Meghan,L,Grosse,2273517,5,poor,2.4
1363,Physics,Mathias,,Grosse Perdekamp,1206956,5,good,3.9
1364,Art & Design,Ben,,Grosser,1855830,3,good,5.0
1365,Law,Margaret,,Grossman,1250389,2,poor,2.0
1366,Architecture,Heather,,Grossman,2132093,5,average,3.1
1367,Political Science,Nicholas,,Grossman,2459113,5,good,4.4
1368,Chemistry,Martin,,Gruebele,209733,30,good,4.6
1369,Electrical  Comp. Engineering,Viktor,,Gruev,2203182,1,good,5.0
1370,Information Science,Yingjun,,Guan,2456970,1,good,5.0
1371,Geology,William,,Guenthner,2250313,2,good,3.5
1372,Statistics,Stephane ,,Guerrier ,1931251,7,good,3.7
1373,Civil Engineering,Jeremy,,Guest,1968535,5,good,5.0
1374,Mathematics,Bert,,Guillou,1231946,12,good,4.0
1375,Psychology,Joshua,,Gulley,1043811,19,good,4.3
1376,Mathematics,Funda,,Gultepe,1863153,34,poor,1.9
1377,Chemistry,Mutha,,Gunasekera,2275634,49,average,3.0
1378,Mathematics,Ayhan,,Gunaydin,745167,0,zero,N/A
1379,Agriculture,Craig,,Gundersen,1283954,11,average,3.0
1380,Agriculture,Lisa,,Gunderson,1329191,26,poor,2.4
1381,Fine Arts,Jennifer,,Gunji,302658,13,good,3.6
1382,Fine Arts,Kimiko,,Gunji,557619,5,good,4.4
1383,Music,Nathan,,Gunn,1100182,1,good,5.0
1384,Law,C.K.,,Gunsalus,1144756,7,average,3.2
1385,Computer Science,Elsa,,Gunter,986195,19,average,2.7
1386,Computer Science,Carl,,Gunter,1915798,2,good,5.0
1387,Communication,Lisa,,Guntzviller,2083362,10,good,3.5
1388,Mathematics,Jingwei,,Guo,1699773,3,good,3.5
1389,Electrical  Computer Engineering,Siming,,Guo,2016902,2,good,4.3
1390,Political Science,Xiaoli,,Guo,2495417,5,poor,2.0
1391,Computer Science,Indranil,,Gupta,831224,15,good,3.5
1392,English,Pallabi,,Gupta,2578653,3,good,5.0
1393,History,Onni,,Gust,1862207,3,good,5.0
1394,Education,Rochelle,,Gutierrez,1211409,28,poor,2.2
1395,Mathematics,Rosemary,K,Guzman,2036750,59,poor,1.6
1396,Statistics,Hyukjun,,Gweon,2286211,1,good,4.0
1397,English,In Hye,,HA,1542915,7,poor,2.4
1398,Business,Erin,Younhee,HA,1755495,1,good,4.0
1399,Languages,Jeeyoung,Ahn,HA,1845561,4,good,4.1
1400,Chemistry,Nate,,Haas,1442397,0,zero,N/A
1401,Science,Robert,,Haber,263443,24,average,2.8
1402,English,Baron,,Haber,1331075,2,good,4.8
1403,Computer Science,Michael,,Haberman,2232326,4,good,3.5
1404,Mathematics,William,,Haboush,274854,44,poor,1.4
1405,Spanish,Vicky,,Hackbarth,1228793,9,poor,2.2
1406,Education,Don,,Hackmann,2478822,0,zero,N/A
1407,Speech & Hearing Sciences,Pamela,,Hadley,1244082,8,good,4.4
1408,Mathematics,Christian,,Haesemeyer,314178,4,good,3.9
1409,Astronomy,Thomasanna,,Hail,853931,5,good,4.4
1410,French,Azeb,,Haileselassie,1437621,7,good,4.8
1411,Engineering,Bruce,,Hajek,1117270,5,good,4.1
1412,Economics,Eric,,Hake,1157100,2,average,3.2
1413,Engineering,Lippold,,Haken,843959,11,good,4.3
1414,Education,Jon,,Hale,1094188,0,zero,N/A
1415,Community Health Sciences,Timothy,,Hale,2580403,1,good,5.0
1416,Physics,Brad,,Halfpap,1810530,2,poor,2.0
1417,English,Ceridwen,L,Hall,1882911,7,average,3.3
1418,Advertising,Steven,,Hall,2633701,0,zero,N/A
1419,Business,Steve,,Hall,155844,89,good,3.8
1420,Anthropology,Christina,,Halperin,1210818,3,poor,2.0
1421,Advertising,Chang-Dae,,Ham,1848472,7,good,3.8
1422,Social Work,Hany,,Hamdy,2068412,0,zero,N/A
1423,Digital Arts,Kevin,,Hamilton,1028865,4,average,2.8
1424,Information Science,Jeanne,,Hamilton,1861125,0,zero,N/A
1425,Design,Lawrence,,Hamlin,786824,13,average,3.3
1426,Engineering,William,,Hammack,557616,17,good,3.6
1427,Architecture,Ralph,,Hammann,1012795,9,good,3.6
1428,Art & Design,Patrick Earl,,Hammie,1626581,7,average,3.5
1429,Comparative Literature,Anya,,Hamrick,1577973,33,good,4.9
1430,Sociology,Shin Kap,,Han,358509,8,poor,2.0
1431,Computer Science,Jiawei,,Han,1696653,6,good,3.8
1432,Information Science,Myung-Ja,,Han,1861126,0,zero,N/A
1433,Architecture,Sumi,,Han,2017153,0,zero,N/A
1434,Geography,Su,,Han,2653209,0,zero,N/A
1435,Chemistry,Hee-Sun,,Han,2558320,1,poor,2.0
1436,International Studies,Barbara,,Hancin-Bhatt,1229179,5,average,2.6
1437,Engineering,Michael J.,,Haney,1746027,11,good,4.8
1438,Biology,Larry,,Hanks,600040,12,good,4.5
1439,Community Health Sciences,Lena,,Hann,1438427,23,good,4.3
1440,Psychology,Lexi,,Hanna,2555551,2,good,4.5
1441,Communication,Shawn,,Hannan,2492021,7,average,3.3
1442,English,James,,Hansen,124005,24,good,4.0
1443,Communication,Eric,,Hansen,1442485,0,zero,N/A
1444,Animal Biology,Allison,,Hansen,1967119,2,average,3.0
1445,Biology,Alison,,Hansen,2006089,1,average,2.5
1446,Information Science,Lynn,,Hanson,1861127,0,zero,N/A
1447,Jazz Studies,Kevin,,Hanstad,1211742,0,zero,N/A
1448,Crop Studies,Yoshie,,Hanzawa,1913573,0,zero,N/A
1449,English,Gail,,Hapke,1921444,6,good,4.6
1450,Computer Science,Sariel,,Har-Peled,831801,19,poor,2.2
1451,Information Systems,Vidya,,Haran,2545382,1,average,3.0
1452,Electrical amp Computer Engineering,Kiruba,,Haran,2575791,0,zero,N/A
1453,Astronomy,Emily,,Hardegree-Ullman,2090508,1,good,4.5
1454,"Recreation, Parks, & Tourism",Donald,,Hardin,1651917,11,average,3.3
1455,Speech & Hearing Sciences,Donald,,Haring,1715674,6,good,4.0
1456,Engineering,Brendan,,Harley,1679337,6,good,4.9
1457,Biology,Alexandra,,Harmon-Threatt,2585123,13,good,3.7
1458,Agriculture,Joe,,Harper,786362,15,good,3.8
1459,Philosophy,Aaron,,Harper,791611,5,good,4.5
1460,Writing,Janice,,Harrington,1091102,6,good,5.0
1461,Education,Violet,,Harris,737973,8,average,3.2
1462,Architecture,Dianne,,Harris,814883,4,average,3.1
1463,Music,Dawn,,Harris,862996,3,good,4.5
1464,Education,Heather,,Harris,1828113,1,good,5.0
1465,Philosophy,David,,Harris,2164393,0,zero,N/A
1466,Computer Science,Albert,,Harris,2326451,10,average,3.3
1467,Literature,Rachel,,Harris,1638878,8,average,3.1
1468,History,Scott,,Harrison,1501710,4,good,5.0
1469,English,Mat,,Hart,497654,2,good,4.8
1470,Spanish,Brent,,Hart,1348293,0,zero,N/A
1471,Computer Science,John,,Hart,1773959,9,average,3.3
1472,Information Science,Amanda,,Hartman,1861130,0,zero,N/A
1473,Communication,Dan,,Hartman,2667207,0,zero,N/A
1474,Business,Raveh,,Harush,2072806,0,zero,N/A
1475,Communication,Jessica,,Harvey,1658787,1,good,5.0
1476,Urban Design & Development,Stacy,,Harwood,842151,3,average,3.3
1477,Electrical  Comp. Engineering,Syed,Faisal,Hasan,1959809,0,zero,N/A
1478,Engineering,Mark,,Hasegawa-Johnson,567278,7,good,3.8
1479,Civil Engineering,Youssef,,Hashash,1269556,17,poor,2.3
1480,Comparative Literature,Wail,,Hassan,1136366,8,good,3.9
1481,English,Amy,,Hassinger,2315183,3,good,5.0
1482,Political Science,Laura,,Hastings,1229185,13,good,4.8
1483,Social Work,Judith,Regina,Havlicek,2322964,3,average,2.7
1484,English,Natalie,,Havlin,603694,8,good,4.5
1485,Labor  Employment Relations,C.J.,,Hawking,2145393,1,average,3.0
1486,Communication,James,,Hay,581998,19,poor,1.5
1487,Advertising,Jameson,,Hayes,1791340,1,average,2.5
1488,Music,Cynthia,,Haymon-Coleman,1701807,4,good,4.0
1489,English,Bob,,Haynes,544000,15,poor,1.9
1490,English,Mary,,Hays,456021,11,poor,2.3
1491,Art History,David,,Hays,786822,9,good,4.8
1492,Political Science,Jude,,Hays,969235,6,average,3.3
1493,Law,Richard,,Hazlewood,1719233,1,good,4.0
